2026-06-29 12:42:21.925 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/managers'.'
2026-06-29 12:42:21.934 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/bookings' by 'AuthenticationTypes.Federation' scheme.'
2026-06-29 12:42:21.936 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5003/api/RoomAmenities'
2026-06-29 12:42:21.941 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-06-29 12:42:21.938 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-29 12:42:21.949 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-06-29 12:42:21.953 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/managers'
2026-06-29 12:42:21.954 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: '/api/bookings/{everything} route does not require user to be authorized'
2026-06-29 12:42:21.959 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5004/api/bookings'
2026-06-29 12:42:22.005 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5002/api/hotels.'
2026-06-29 12:42:22.008 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:22.010 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:22.012 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E4:00000007, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:22.021 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5002/api/HotelAmenities.'
2026-06-29 12:42:22.023 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:22.025 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:22.026 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E5:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:22.078 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/managers.'
2026-06-29 12:42:22.080 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:22.082 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:22.084 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E6:00000006, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:22.112 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5004/api/bookings.'
2026-06-29 12:42:22.114 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:22.116 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:22.119 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E8:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:24.953 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5003/api/RoomAmenities.'
2026-06-29 12:42:24.955 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-29 12:42:24.957 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-29 12:42:24.959 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-29 12:42:31.012 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000005, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-29 12:42:31.014 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000005, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Hotels'
2026-06-29 12:42:31.017 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000005, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-06-29 12:42:31.018 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000005, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-06-29 12:42:31.020 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000005, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Hotels'.'
2026-06-29 12:42:31.021 +05:30 [INF] ApiGateway | requestId: 0HNMLLMTV97E7:00000005, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-06-29 12:42:31.023 +05:30 [DBG] ApiGateway | requestId: 0HNMLLMTV97E7:00000005, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
